Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment
WBGene00023871	5	WBGene00023871	8	WBGene00023871	0	WBGene00023871	0
WBGene00023874	114	WBGene00023874	47	WBGene00023874	118	WBGene00023874	39
WBGene00023875	411	WBGene00023875	440	WBGene00023875	437	WBGene00023875	468
WBGene00023876	3419	WBGene00023876	3513	WBGene00023876	4245	WBGene00023876	3539
WBGene00023878	290	WBGene00023878	261	WBGene00023878	233	WBGene00023878	205
WBGene00023879	79	WBGene00023879	32	WBGene00023879	69	WBGene00023879	27
WBGene00023880	223	WBGene00023880	193	WBGene00023880	272	WBGene00023880	219
WBGene00023881	0	WBGene00023881	0	WBGene00023881	0	WBGene00023881	1
WBGene00023883	17	WBGene00023883	1	WBGene00023883	16	WBGene00023883	21
WBGene00023884	0	WBGene00023884	0	WBGene00023884	0	WBGene00023884	0
WBGene00023885	0	WBGene00023885	0	WBGene00023885	0	WBGene00023885	0
WBGene00023888	642	WBGene00023888	380	WBGene00023888	305	WBGene00023888	323
WBGene00023889	388	WBGene00023889	337	WBGene00023889	235	WBGene00023889	236
WBGene00023890	374	WBGene00023890	280	WBGene00023890	277	WBGene00023890	252
WBGene00023891	14	WBGene00023891	10	WBGene00023891	0	WBGene00023891	0
WBGene00023892	2685	WBGene00023892	2309	WBGene00023892	2963	WBGene00023892	2776
WBGene00023893	51	WBGene00023893	22	WBGene00023893	242	WBGene00023893	103
WBGene00023894	0	WBGene00023894	0	WBGene00023894	0	WBGene00023894	0
WBGene00023895	27	WBGene00023895	16	WBGene00023895	23	WBGene00023895	21
WBGene00023896	0	WBGene00023896	0	WBGene00023896	0	WBGene00023896	0
WBGene00023898	196	WBGene00023898	143	WBGene00023898	179	WBGene00023898	99
WBGene00023899	0	WBGene00023899	0	WBGene00023899	20	WBGene00023899	0
WBGene00023900	13	WBGene00023900	6	WBGene00023900	34	WBGene00023900	20
WBGene00023901	9	WBGene00023901	8	WBGene00023901	8	WBGene00023901	0
WBGene00023902	3	WBGene00023902	0	WBGene00023902	0	WBGene00023902	0
WBGene00023903	10	WBGene00023903	1	WBGene00023903	3	WBGene00023903	1
WBGene00023904	0	WBGene00023904	0	WBGene00023904	9	WBGene00023904	8
WBGene00023905	4	WBGene00023905	0	WBGene00023905	1	WBGene00023905	0
WBGene00023906	44	WBGene00023906	6	WBGene00023906	36	WBGene00023906	16
WBGene00023907	231	WBGene00023907	202	WBGene00023907	184	WBGene00023907	163
WBGene00023908	2	WBGene00023908	5	WBGene00023908	3	WBGene00023908	0
WBGene00023909	8	WBGene00023909	1	WBGene00023909	4	WBGene00023909	2
WBGene00023910	10	WBGene00023910	5	WBGene00023910	8	WBGene00023910	0
WBGene00023911	4	WBGene00023911	2	WBGene00023911	15	WBGene00023911	0
WBGene00023912	0	WBGene00023912	0	WBGene00023912	0	WBGene00023912	1
WBGene00023913	0	WBGene00023913	0	WBGene00023913	1	WBGene00023913	0
WBGene00023914	0	WBGene00023914	0	WBGene00023914	0	WBGene00023914	0
WBGene00023916	0	WBGene00023916	0	WBGene00023916	0	WBGene00023916	0
WBGene00023917	0	WBGene00023917	1	WBGene00023917	0	WBGene00023917	1
WBGene00023918	1	WBGene00023918	0	WBGene00023918	0	WBGene00023918	0
