Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment
WBGene00023919	0	WBGene00023919	0	WBGene00023919	0	WBGene00023919	0
WBGene00023920	42	WBGene00023920	40	WBGene00023920	37	WBGene00023920	27
WBGene00023921	16	WBGene00023921	6	WBGene00023921	15	WBGene00023921	10
WBGene00023922	901	WBGene00023922	929	WBGene00023922	459	WBGene00023922	508
WBGene00023923	24357	WBGene00023923	19766	WBGene00023923	17384	WBGene00023923	16318
WBGene00023924	521	WBGene00023924	580	WBGene00023924	468	WBGene00023924	505
WBGene00023925	136	WBGene00023925	132	WBGene00023925	68	WBGene00023925	86
WBGene00023926	134	WBGene00023926	192	WBGene00023926	100	WBGene00023926	87
WBGene00023927	523	WBGene00023927	492	WBGene00023927	729	WBGene00023927	746
WBGene00023930	0	WBGene00023930	0	WBGene00023930	0	WBGene00023930	0
WBGene00023931	20	WBGene00023931	21	WBGene00023931	60	WBGene00023931	13
WBGene00023932	633	WBGene00023932	611	WBGene00023932	562	WBGene00023932	477
WBGene00023933	1067	WBGene00023933	948	WBGene00023933	969	WBGene00023933	884
WBGene00023934	30	WBGene00023934	25	WBGene00023934	59	WBGene00023934	38
WBGene00023935	502	WBGene00023935	491	WBGene00023935	614	WBGene00023935	567
WBGene00023936	24870	WBGene00023936	26597	WBGene00023936	25285	WBGene00023936	27101
WBGene00023937	23	WBGene00023937	6	WBGene00023937	28	WBGene00023937	11
WBGene00023938	8	WBGene00023938	0	WBGene00023938	112	WBGene00023938	21
WBGene00023939	733	WBGene00023939	577	WBGene00023939	578	WBGene00023939	494
WBGene00023940	5	WBGene00023940	3	WBGene00023940	14	WBGene00023940	0
WBGene00023941	480	WBGene00023941	444	WBGene00023941	756	WBGene00023941	586
WBGene00023943	0	WBGene00023943	0	WBGene00023943	0	WBGene00023943	0
WBGene00023944	16	WBGene00023944	6	WBGene00023944	26	WBGene00023944	9
WBGene00023945	5	WBGene00023945	0	WBGene00023945	3	WBGene00023945	3
WBGene00023946	3	WBGene00023946	1	WBGene00023946	1	WBGene00023946	1
WBGene00023947	24	WBGene00023947	44	WBGene00023947	30	WBGene00023947	20
WBGene00023949	235	WBGene00023949	285	WBGene00023949	233	WBGene00023949	230
WBGene00023950	3	WBGene00023950	5	WBGene00023950	0	WBGene00023950	0
WBGene00023951	0	WBGene00023951	0	WBGene00023951	0	WBGene00023951	0
WBGene00023952	1	WBGene00023952	0	WBGene00023952	3	WBGene00023952	1
WBGene00023953	3	WBGene00023953	0	WBGene00023953	9	WBGene00023953	0
WBGene00023954	55	WBGene00023954	36	WBGene00023954	14	WBGene00023954	7
WBGene00023955	0	WBGene00023955	0	WBGene00023955	0	WBGene00023955	0
WBGene00023956	0	WBGene00023956	0	WBGene00023956	5	WBGene00023956	10
WBGene00023957	383	WBGene00023957	194	WBGene00023957	46	WBGene00023957	45
WBGene00023958	4	WBGene00023958	6	WBGene00023958	35	WBGene00023958	285
WBGene00023959	551	WBGene00023959	488	WBGene00023959	578	WBGene00023959	463
WBGene00023960	304	WBGene00023960	250	WBGene00023960	296	WBGene00023960	319
WBGene00023961	5	WBGene00023961	2	WBGene00023961	1	WBGene00023961	0
WBGene00023962	1086	WBGene00023962	987	WBGene00023962	535	WBGene00023962	477
WBGene00023963	30	WBGene00023963	9	WBGene00023963	3	WBGene00023963	3
WBGene00023964	99	WBGene00023964	77	WBGene00023964	13	WBGene00023964	10
WBGene00023965	1536	WBGene00023965	1215	WBGene00023965	923	WBGene00023965	837
WBGene00023966	270	WBGene00023966	236	WBGene00023966	169	WBGene00023966	162
WBGene00023967	73	WBGene00023967	46	WBGene00023967	3	WBGene00023967	3
WBGene00023968	1567	WBGene00023968	1135	WBGene00023968	731	WBGene00023968	547
WBGene00023969	164	WBGene00023969	72	WBGene00023969	10	WBGene00023969	5
WBGene00023970	55	WBGene00023970	13	WBGene00023970	35	WBGene00023970	12
WBGene00023971	3796	WBGene00023971	3268	WBGene00023971	1797	WBGene00023971	1788
WBGene00023972	1453	WBGene00023972	1427	WBGene00023972	730	WBGene00023972	729
WBGene00023973	203	WBGene00023973	222	WBGene00023973	214	WBGene00023973	201
WBGene00023974	5	WBGene00023974	5	WBGene00023974	8	WBGene00023974	2
WBGene00023975	223	WBGene00023975	118	WBGene00023975	62	WBGene00023975	27
WBGene00023976	27	WBGene00023976	26	WBGene00023976	0	WBGene00023976	0
WBGene00023977	16	WBGene00023977	8	WBGene00023977	0	WBGene00023977	0
WBGene00023978	37	WBGene00023978	35	WBGene00023978	0	WBGene00023978	0
WBGene00023979	0	WBGene00023979	0	WBGene00023979	0	WBGene00023979	0
WBGene00023980	2	WBGene00023980	4	WBGene00023980	0	WBGene00023980	0
WBGene00023983	3	WBGene00023983	0	WBGene00023983	8	WBGene00023983	0
WBGene00023984	149	WBGene00023984	38	WBGene00023984	104	WBGene00023984	44
WBGene00023985	656	WBGene00023985	439	WBGene00023985	689	WBGene00023985	372
WBGene00023986	746	WBGene00023986	597	WBGene00023986	501	WBGene00023986	457
WBGene00023987	172	WBGene00023987	51	WBGene00023987	195	WBGene00023987	79
WBGene00023988	2	WBGene00023988	3	WBGene00023988	3	WBGene00023988	0
WBGene00023989	2529	WBGene00023989	2680	WBGene00023989	2413	WBGene00023989	2628
WBGene00023990	2337	WBGene00023990	2474	WBGene00023990	2689	WBGene00023990	2597
WBGene00023991	1142	WBGene00023991	1108	WBGene00023991	1246	WBGene00023991	1219
WBGene00023992	1577	WBGene00023992	2061	WBGene00023992	1700	WBGene00023992	2209
WBGene00023993	1	WBGene00023993	6	WBGene00023993	4	WBGene00023993	0
WBGene00023994	0	WBGene00023994	0	WBGene00023994	2	WBGene00023994	0
WBGene00023995	18	WBGene00023995	3	WBGene00023995	14	WBGene00023995	9
WBGene00023996	3	WBGene00023996	2	WBGene00023996	6	WBGene00023996	2
WBGene00023997	0	WBGene00023997	0	WBGene00023997	0	WBGene00023997	0
WBGene00023998	11	WBGene00023998	1	WBGene00023998	2	WBGene00023998	1
WBGene00023999	25	WBGene00023999	7	WBGene00023999	8	WBGene00023999	19
WBGene00024000	0	WBGene00024000	0	WBGene00024000	14	WBGene00024000	7
WBGene00024001	0	WBGene00024001	2	WBGene00024001	141	WBGene00024001	153
WBGene00024002	93	WBGene00024002	42	WBGene00024002	65	WBGene00024002	41
WBGene00024003	1	WBGene00024003	2	WBGene00024003	0	WBGene00024003	0
WBGene00024004	1	WBGene00024004	0	WBGene00024004	2	WBGene00024004	0
WBGene00024005	68	WBGene00024005	7	WBGene00024005	117	WBGene00024005	22
WBGene00024006	25	WBGene00024006	5	WBGene00024006	24	WBGene00024006	2
WBGene00024007	22	WBGene00024007	4	WBGene00024007	4	WBGene00024007	5
WBGene00024008	957	WBGene00024008	271	WBGene00024008	974	WBGene00024008	359
WBGene00024009	1	WBGene00024009	2	WBGene00024009	6	WBGene00024009	6
WBGene00024010	61	WBGene00024010	33	WBGene00024010	40	WBGene00024010	18
WBGene00024011	0	WBGene00024011	2	WBGene00024011	2	WBGene00024011	3
WBGene00024012	6527	WBGene00024012	4302	WBGene00024012	8102	WBGene00024012	5658
WBGene00024013	2289	WBGene00024013	2236	WBGene00024013	2453	WBGene00024013	2220
WBGene00024014	1	WBGene00024014	1	WBGene00024014	2	WBGene00024014	0
WBGene00024015	0	WBGene00024015	0	WBGene00024015	0	WBGene00024015	0
WBGene00024016	9	WBGene00024016	1	WBGene00024016	4	WBGene00024016	10
WBGene00024017	1	WBGene00024017	0	WBGene00024017	0	WBGene00024017	0
WBGene00024018	0	WBGene00024018	0	WBGene00024018	0	WBGene00024018	0
WBGene00024019	105	WBGene00024019	68	WBGene00024019	110	WBGene00024019	71
WBGene00024020	0	WBGene00024020	0	WBGene00024020	0	WBGene00024020	0
WBGene00024021	9	WBGene00024021	2	WBGene00024021	2	WBGene00024021	2
WBGene00024022	0	WBGene00024022	4	WBGene00024022	334	WBGene00024022	376
WBGene00024023	188	WBGene00024023	275	WBGene00024023	206	WBGene00024023	228
WBGene00024024	60	WBGene00024024	46	WBGene00024024	69	WBGene00024024	45
WBGene00024025	45	WBGene00024025	24	WBGene00024025	28	WBGene00024025	55
WBGene00024026	1130	WBGene00024026	289	WBGene00024026	867	WBGene00024026	203
WBGene00024027	2	WBGene00024027	0	WBGene00024027	5	WBGene00024027	0
WBGene00024028	2178	WBGene00024028	2360	WBGene00024028	2101	WBGene00024028	2096
WBGene00024029	784	WBGene00024029	918	WBGene00024029	825	WBGene00024029	926
WBGene00024030	337	WBGene00024030	373	WBGene00024030	346	WBGene00024030	355
WBGene00024031	891	WBGene00024031	613	WBGene00024031	783	WBGene00024031	593
WBGene00024032	0	WBGene00024032	1	WBGene00024032	2	WBGene00024032	1
WBGene00024033	1902	WBGene00024033	1718	WBGene00024033	1964	WBGene00024033	1741
WBGene00024034	4301	WBGene00024034	4686	WBGene00024034	4388	WBGene00024034	4747
WBGene00024035	36	WBGene00024035	27	WBGene00024035	29	WBGene00024035	13
WBGene00024037	33	WBGene00024037	23	WBGene00024037	50	WBGene00024037	20
WBGene00024038	0	WBGene00024038	0	WBGene00024038	0	WBGene00024038	2
WBGene00024039	1456	WBGene00024039	1239	WBGene00024039	1314	WBGene00024039	1274
WBGene00024040	121	WBGene00024040	67	WBGene00024040	133	WBGene00024040	85
WBGene00024041	52	WBGene00024041	27	WBGene00024041	64	WBGene00024041	16
WBGene00024044	482	WBGene00024044	616	WBGene00024044	900	WBGene00024044	886
WBGene00024045	226	WBGene00024045	84	WBGene00024045	148	WBGene00024045	103
WBGene00024046	3804	WBGene00024046	4204	WBGene00024046	3634	WBGene00024046	3819
WBGene00024051	187	WBGene00024051	179	WBGene00024051	208	WBGene00024051	203
WBGene00024052	217	WBGene00024052	74	WBGene00024052	146	WBGene00024052	48
WBGene00024053	22	WBGene00024053	11	WBGene00024053	77	WBGene00024053	21
WBGene00024054	2	WBGene00024054	3	WBGene00024054	9	WBGene00024054	1
WBGene00024055	99	WBGene00024055	19	WBGene00024055	69	WBGene00024055	15
WBGene00024056	1060	WBGene00024056	1377	WBGene00024056	853	WBGene00024056	1195
WBGene00024057	1989	WBGene00024057	1863	WBGene00024057	1829	WBGene00024057	1747
WBGene00024058	561	WBGene00024058	433	WBGene00024058	525	WBGene00024058	342
WBGene00024059	673	WBGene00024059	604	WBGene00024059	75	WBGene00024059	93
WBGene00024060	7	WBGene00024060	2	WBGene00024060	6	WBGene00024060	1
WBGene00024061	2	WBGene00024061	0	WBGene00024061	1	WBGene00024061	0
WBGene00024063	267	WBGene00024063	78	WBGene00024063	252	WBGene00024063	65
WBGene00024064	55	WBGene00024064	37	WBGene00024064	105	WBGene00024064	45
WBGene00024065	0	WBGene00024065	0	WBGene00024065	0	WBGene00024065	0
WBGene00024066	4	WBGene00024066	3	WBGene00024066	4	WBGene00024066	1
WBGene00024067	794	WBGene00024067	849	WBGene00024067	817	WBGene00024067	826
WBGene00024068	13	WBGene00024068	4	WBGene00024068	97	WBGene00024068	82
WBGene00024069	1	WBGene00024069	0	WBGene00024069	0	WBGene00024069	0
WBGene00024070	4	WBGene00024070	0	WBGene00024070	0	WBGene00024070	0
WBGene00024071	2	WBGene00024071	2	WBGene00024071	1	WBGene00024071	2
WBGene00024072	0	WBGene00024072	1	WBGene00024072	10	WBGene00024072	0
WBGene00024073	41	WBGene00024073	11	WBGene00024073	7	WBGene00024073	15
WBGene00024074	410	WBGene00024074	290	WBGene00024074	605	WBGene00024074	603
WBGene00024075	403	WBGene00024075	350	WBGene00024075	388	WBGene00024075	389
WBGene00024076	168	WBGene00024076	162	WBGene00024076	231	WBGene00024076	188
WBGene00024077	25	WBGene00024077	11	WBGene00024077	21	WBGene00024077	31
WBGene00024078	176	WBGene00024078	103	WBGene00024078	217	WBGene00024078	82
WBGene00024079	119	WBGene00024079	8	WBGene00024079	116	WBGene00024079	14
WBGene00024080	43	WBGene00024080	38	WBGene00024080	16	WBGene00024080	9
WBGene00024081	1281	WBGene00024081	1121	WBGene00024081	1173	WBGene00024081	1028
WBGene00024082	0	WBGene00024082	2	WBGene00024082	2	WBGene00024082	0
WBGene00024083	0	WBGene00024083	0	WBGene00024083	0	WBGene00024083	0
WBGene00024084	5	WBGene00024084	2	WBGene00024084	3	WBGene00024084	5
WBGene00024085	6	WBGene00024085	2	WBGene00024085	6	WBGene00024085	6
WBGene00024086	349	WBGene00024086	300	WBGene00024086	353	WBGene00024086	261
WBGene00024087	32637	WBGene00024087	27360	WBGene00024087	35360	WBGene00024087	28271
WBGene00024088	701	WBGene00024088	820	WBGene00024088	755	WBGene00024088	905
WBGene00024089	1685	WBGene00024089	1458	WBGene00024089	1602	WBGene00024089	1506
WBGene00024090	1671	WBGene00024090	1389	WBGene00024090	1536	WBGene00024090	1207
WBGene00024091	753	WBGene00024091	733	WBGene00024091	477	WBGene00024091	513
WBGene00024093	52	WBGene00024093	13	WBGene00024093	77	WBGene00024093	12
WBGene00024094	0	WBGene00024094	1	WBGene00024094	0	WBGene00024094	0
WBGene00024095	0	WBGene00024095	0	WBGene00024095	0	WBGene00024095	0
WBGene00024096	0	WBGene00024096	0	WBGene00024096	1	WBGene00024096	0
WBGene00024097	0	WBGene00024097	0	WBGene00024097	0	WBGene00024097	0
WBGene00024098	116	WBGene00024098	35	WBGene00024098	141	WBGene00024098	114
WBGene00024099	21	WBGene00024099	17	WBGene00024099	0	WBGene00024099	0
WBGene00024100	271	WBGene00024100	128	WBGene00024100	230	WBGene00024100	128
WBGene00024102	32	WBGene00024102	31	WBGene00024102	128	WBGene00024102	46
WBGene00024103	1549	WBGene00024103	1608	WBGene00024103	1535	WBGene00024103	1770
WBGene00024104	3	WBGene00024104	17	WBGene00024104	3	WBGene00024104	4
WBGene00024105	1	WBGene00024105	2	WBGene00024105	12	WBGene00024105	9
WBGene00024106	0	WBGene00024106	0	WBGene00024106	2	WBGene00024106	0
WBGene00024107	0	WBGene00024107	0	WBGene00024107	0	WBGene00024107	0
WBGene00024108	1	WBGene00024108	0	WBGene00024108	7	WBGene00024108	7
WBGene00024109	47	WBGene00024109	12	WBGene00024109	184	WBGene00024109	49
WBGene00024110	2	WBGene00024110	0	WBGene00024110	0	WBGene00024110	1
WBGene00024111	4	WBGene00024111	1	WBGene00024111	0	WBGene00024111	0
WBGene00024112	1399	WBGene00024112	677	WBGene00024112	27	WBGene00024112	18
WBGene00024113	0	WBGene00024113	0	WBGene00024113	13	WBGene00024113	2
WBGene00024114	5	WBGene00024114	13	WBGene00024114	20	WBGene00024114	22
WBGene00024115	166	WBGene00024115	102	WBGene00024115	62	WBGene00024115	58
WBGene00024116	0	WBGene00024116	0	WBGene00024116	0	WBGene00024116	0
WBGene00024117	28	WBGene00024117	30	WBGene00024117	0	WBGene00024117	0
WBGene00024118	12	WBGene00024118	1	WBGene00024118	22	WBGene00024118	2
WBGene00024119	0	WBGene00024119	0	WBGene00024119	0	WBGene00024119	0
WBGene00024120	31	WBGene00024120	43	WBGene00024120	49	WBGene00024120	64
WBGene00024121	0	WBGene00024121	0	WBGene00024121	0	WBGene00024121	0
WBGene00024122	0	WBGene00024122	0	WBGene00024122	0	WBGene00024122	0
WBGene00024123	0	WBGene00024123	0	WBGene00024123	1	WBGene00024123	1
WBGene00024124	0	WBGene00024124	0	WBGene00024124	0	WBGene00024124	0
WBGene00024125	1	WBGene00024125	10	WBGene00024125	0	WBGene00024125	0
WBGene00024126	2	WBGene00024126	0	WBGene00024126	0	WBGene00024126	0
WBGene00024127	1	WBGene00024127	1	WBGene00024127	0	WBGene00024127	0
WBGene00024128	0	WBGene00024128	0	WBGene00024128	0	WBGene00024128	0
WBGene00024129	0	WBGene00024129	0	WBGene00024129	0	WBGene00024129	0
WBGene00024130	4	WBGene00024130	1	WBGene00024130	14	WBGene00024130	2
WBGene00024131	0	WBGene00024131	0	WBGene00024131	0	WBGene00024131	1
WBGene00024132	25	WBGene00024132	6	WBGene00024132	17	WBGene00024132	5
WBGene00024133	0	WBGene00024133	0	WBGene00024133	1	WBGene00024133	2
WBGene00024134	0	WBGene00024134	0	WBGene00024134	0	WBGene00024134	0
WBGene00024135	0	WBGene00024135	0	WBGene00024135	0	WBGene00024135	0
WBGene00024136	0	WBGene00024136	0	WBGene00024136	0	WBGene00024136	0
WBGene00024137	0	WBGene00024137	0	WBGene00024137	0	WBGene00024137	0
WBGene00024138	5	WBGene00024138	0	WBGene00024138	2	WBGene00024138	0
WBGene00024139	1	WBGene00024139	0	WBGene00024139	1	WBGene00024139	1
WBGene00024140	0	WBGene00024140	0	WBGene00024140	0	WBGene00024140	0
WBGene00024141	0	WBGene00024141	0	WBGene00024141	1	WBGene00024141	1
WBGene00024142	0	WBGene00024142	0	WBGene00024142	0	WBGene00024142	0
WBGene00024143	0	WBGene00024143	0	WBGene00024143	0	WBGene00024143	0
WBGene00024144	1	WBGene00024144	0	WBGene00024144	0	WBGene00024144	0
WBGene00024145	0	WBGene00024145	0	WBGene00024145	0	WBGene00024145	0
WBGene00024146	37	WBGene00024146	15	WBGene00024146	17	WBGene00024146	3
WBGene00024147	0	WBGene00024147	0	WBGene00024147	0	WBGene00024147	0
WBGene00024148	6	WBGene00024148	6	WBGene00024148	0	WBGene00024148	10
WBGene00024149	2	WBGene00024149	1	WBGene00024149	1440	WBGene00024149	176
WBGene00024150	2248	WBGene00024150	2873	WBGene00024150	93	WBGene00024150	104
WBGene00024151	53	WBGene00024151	8	WBGene00024151	0	WBGene00024151	2
WBGene00024154	10	WBGene00024154	1	WBGene00024154	0	WBGene00024154	0
WBGene00024155	18	WBGene00024155	0	WBGene00024155	14	WBGene00024155	3
WBGene00024156	2174	WBGene00024156	902	WBGene00024156	1788	WBGene00024156	699
WBGene00024157	16	WBGene00024157	0	WBGene00024157	5	WBGene00024157	0
WBGene00024158	0	WBGene00024158	0	WBGene00024158	0	WBGene00024158	0
WBGene00024159	1	WBGene00024159	0	WBGene00024159	0	WBGene00024159	0
WBGene00024160	2	WBGene00024160	0	WBGene00024160	0	WBGene00024160	0
WBGene00024161	0	WBGene00024161	0	WBGene00024161	1	WBGene00024161	0
WBGene00024162	1	WBGene00024162	0	WBGene00024162	0	WBGene00024162	0
WBGene00024163	0	WBGene00024163	0	WBGene00024163	6	WBGene00024163	16
WBGene00024164	23	WBGene00024164	9	WBGene00024164	61	WBGene00024164	3
WBGene00024165	3	WBGene00024165	2	WBGene00024165	11	WBGene00024165	10
WBGene00024166	0	WBGene00024166	0	WBGene00024166	0	WBGene00024166	0
WBGene00024167	10	WBGene00024167	55	WBGene00024167	0	WBGene00024167	0
WBGene00024168	0	WBGene00024168	0	WBGene00024168	0	WBGene00024168	0
WBGene00024169	0	WBGene00024169	1	WBGene00024169	0	WBGene00024169	0
WBGene00024170	1	WBGene00024170	1	WBGene00024170	0	WBGene00024170	0
WBGene00024172	0	WBGene00024172	0	WBGene00024172	1	WBGene00024172	1
WBGene00024173	0	WBGene00024173	0	WBGene00024173	0	WBGene00024173	0
WBGene00024174	0	WBGene00024174	0	WBGene00024174	0	WBGene00024174	0
WBGene00024175	0	WBGene00024175	0	WBGene00024175	0	WBGene00024175	0
WBGene00024176	0	WBGene00024176	0	WBGene00024176	0	WBGene00024176	0
WBGene00024177	0	WBGene00024177	0	WBGene00024177	0	WBGene00024177	0
WBGene00024178	0	WBGene00024178	0	WBGene00024178	0	WBGene00024178	0
WBGene00024179	0	WBGene00024179	3	WBGene00024179	1	WBGene00024179	0
WBGene00024180	1	WBGene00024180	1	WBGene00024180	6	WBGene00024180	4
WBGene00024181	417	WBGene00024181	324	WBGene00024181	649	WBGene00024181	523
WBGene00024182	75	WBGene00024182	50	WBGene00024182	65	WBGene00024182	54
WBGene00024183	31	WBGene00024183	35	WBGene00024183	70	WBGene00024183	59
WBGene00024184	6	WBGene00024184	8	WBGene00024184	3	WBGene00024184	5
WBGene00024185	0	WBGene00024185	0	WBGene00024185	0	WBGene00024185	0
WBGene00024186	0	WBGene00024186	0	WBGene00024186	0	WBGene00024186	0
WBGene00024187	0	WBGene00024187	0	WBGene00024187	1	WBGene00024187	0
WBGene00024188	20	WBGene00024188	3	WBGene00024188	10	WBGene00024188	0
WBGene00024189	4	WBGene00024189	1	WBGene00024189	6	WBGene00024189	1
WBGene00024190	489	WBGene00024190	329	WBGene00024190	667	WBGene00024190	340
WBGene00024191	24	WBGene00024191	25	WBGene00024191	24	WBGene00024191	28
WBGene00024195	593	WBGene00024195	621	WBGene00024195	471	WBGene00024195	494
WBGene00024196	110	WBGene00024196	95	WBGene00024196	81	WBGene00024196	55
WBGene00024197	2690	WBGene00024197	2251	WBGene00024197	1625	WBGene00024197	1372
WBGene00024198	978	WBGene00024198	467	WBGene00024198	800	WBGene00024198	320
WBGene00024199	73	WBGene00024199	46	WBGene00024199	78	WBGene00024199	33
WBGene00024200	201	WBGene00024200	125	WBGene00024200	141	WBGene00024200	95
WBGene00024201	2142	WBGene00024201	874	WBGene00024201	1803	WBGene00024201	866
WBGene00024202	332	WBGene00024202	74	WBGene00024202	307	WBGene00024202	47
WBGene00024203	4	WBGene00024203	0	WBGene00024203	0	WBGene00024203	2
WBGene00024204	158	WBGene00024204	90	WBGene00024204	89	WBGene00024204	37
WBGene00024205	1299	WBGene00024205	1489	WBGene00024205	1365	WBGene00024205	1385
WBGene00024206	309	WBGene00024206	296	WBGene00024206	347	WBGene00024206	339
WBGene00024207	3	WBGene00024207	2	WBGene00024207	4	WBGene00024207	0
WBGene00024208	1478	WBGene00024208	1251	WBGene00024208	1146	WBGene00024208	1357
WBGene00024209	2	WBGene00024209	0	WBGene00024209	7	WBGene00024209	2
WBGene00024210	0	WBGene00024210	0	WBGene00024210	5	WBGene00024210	0
