GO:0006044	WBGene00029055,WBGene00040062
GO:0006046	WBGene00029055,WBGene00040062
GO:0006047	WBGene00025820
GO:0006048	WBGene00024149,WBGene00024711,WBGene00031144,WBGene00036384,WBGene00038538,WBGene00040062
GO:0006067	WBGene00041628
GO:0006069	WBGene00037404
GO:0006071	WBGene00028882,WBGene00032210,WBGene00037874
GO:0006072	WBGene00027197,WBGene00031452,WBGene00032933,WBGene00037874,WBGene00038184
GO:0006081	WBGene00038231
GO:0006082	WBGene00024501,WBGene00024506,WBGene00024520,WBGene00024530,WBGene00024531,WBGene00024534,WBGene00024632,WBGene00024637,WBGene00024638,WBGene00024639,WBGene00026357,WBGene00026374,WBGene00026819,WBGene00028632,WBGene00029469,WBGene00030566,WBGene00031828,WBGene00032566,WBGene00034232,WBGene00036788,WBGene00038021,WBGene00040506,WBGene00040518,WBGene00041296
GO:0006084	WBGene00024345,WBGene00030943,WBGene00255555
GO:0006085	WBGene00031017,WBGene00037538,WBGene00042607
GO:0006086	WBGene00034118,WBGene00039931
GO:0006090	WBGene00023849,WBGene00027251,WBGene00028947,WBGene00030101,WBGene00041648,WBGene00087079
GO:0006091	WBGene00024926,WBGene00029882
GO:0006094	WBGene00023849,WBGene00028947,WBGene00029905,WBGene00030101,WBGene00032991,WBGene00039902,WBGene00041648
GO:0006096	WBGene00000332,WBGene00000333,WBGene00024150,WBGene00024712,WBGene00024926,WBGene00025167,WBGene00026116,WBGene00028310,WBGene00029905,WBGene00030727,WBGene00032991,WBGene00034573,WBGene00035618,WBGene00036739,WBGene00038394,WBGene00038675,WBGene00039401,WBGene00039902
GO:0006097	WBGene00028630
GO:0006098	WBGene00024876,WBGene00028408,WBGene00035606,WBGene00037203,WBGene00040270
GO:0006099	WBGene00023843,WBGene00024197,WBGene00024926,WBGene00025932,WBGene00026699,WBGene00028630,WBGene00029579,WBGene00030818,WBGene00031330,WBGene00033447,WBGene00033696,WBGene00035499,WBGene00035534,WBGene00036287,WBGene00037008,WBGene00037034,WBGene00037153,WBGene00037537,WBGene00038253,WBGene00038291,WBGene00039830,WBGene00040364,WBGene00041269,WBGene00041389,WBGene00041770,WBGene00042601,WBGene00042677
GO:0006101	WBGene00031017,WBGene00031330,WBGene00037008,WBGene00042607
GO:0006102	WBGene00026699,WBGene00033447,WBGene00036287,WBGene00037034,WBGene00037537,WBGene00040364
GO:0006104	WBGene00023843,WBGene00029579,WBGene00035499,WBGene00037153
GO:0006105	WBGene00028936,WBGene00029579,WBGene00035499
GO:0006106	WBGene00030818
GO:0006107	WBGene00032673,WBGene00038253
GO:0006108	WBGene00030818,WBGene00035534,WBGene00038253,WBGene00087079
GO:0006116	WBGene00031452,WBGene00038184,WBGene00041628
GO:0006120	WBGene00025926,WBGene00028432,WBGene00029684,WBGene00031339,WBGene00031366,WBGene00032628,WBGene00032645,WBGene00036498,WBGene00038865,WBGene00039452,WBGene00039695,WBGene00042331
GO:0006121	WBGene00025932,WBGene00033696,WBGene00039830,WBGene00041269,WBGene00042677
GO:0006122	WBGene00024774,WBGene00024932,WBGene00030051,WBGene00035181,WBGene00039696,WBGene00040043,WBGene00041895,WBGene00087365
GO:0006123	WBGene00024932,WBGene00026579,WBGene00035907,WBGene00038936,WBGene00041440
GO:0006139	WBGene00025337,WBGene00025918,WBGene00026000,WBGene00026035,WBGene00027167,WBGene00027801,WBGene00031539,WBGene00031541,WBGene00034097,WBGene00034102,WBGene00034258,WBGene00035859,WBGene00036760,WBGene00037023,WBGene00037500,WBGene00037830,WBGene00038895,WBGene00038998,WBGene00039805,WBGene00039819,WBGene00040075,WBGene00040374,WBGene00042160,WBGene00042796,WBGene00303392
GO:0006144	WBGene00027104,WBGene00041935
GO:0006152	WBGene00025632,WBGene00030797,WBGene00037681
GO:0006154	WBGene00028141,WBGene00028142
GO:0006163	WBGene00032989,WBGene00041935
GO:0006164	WBGene00025948,WBGene00026484,WBGene00028113,WBGene00030553,WBGene00032125,WBGene00036510,WBGene00037109,WBGene00037257,WBGene00037511,WBGene00040586
GO:0006165	WBGene00025328,WBGene00029579,WBGene00035499,WBGene00037023
GO:0006166	WBGene00028376,WBGene00033820,WBGene00038963
GO:0006167	WBGene00028376,WBGene00030553
GO:0006168	WBGene00035290,WBGene00038963
GO:0006171	WBGene00030952
GO:0006172	WBGene00037023,WBGene00040075
GO:0006177	WBGene00025948,WBGene00028113
GO:0006178	WBGene00038963
